stg;vert;pversion;pnr;pdtxt;ppruefer;pdauer;pform;psem;angeboten;(räume|aufsicht);rkapazität;anzstudenten;restplatz;tag;uhrzeit
WBI;0;112;16000;Wärmeschutz 1;5454;90;KL;20201;J;;0;0;0;0;08:00;
WBI;0;201;642011030;Baustoffkunde u.Bauphysik;14014;120;KL;20201;J;;0;0;0;0;08:00;
PB;0;132;6040;Raum- und Psychoakustik;0833;120;KL;20201;J;;0;0;0;0;08:00;
IF;0;132;18150;e-Commerce;1426;90;KL;20201;J;;0;0;0;0;08:00;
VM;0;182;20390;Mobilitätskonzepte;15364;60;KL;20201;J;;0;0;0;0;08:00;
VM;0;182;20380;Planning, Organisation/M.;1098;120;KL;20201;J;;0;0;0;0;08:00;
VM;0;182;20370;Bodenmechanik und Erdbau;3281;120;KL;20201;J;;0;0;0;0;08:00;
VM;0;182;20360;Energiesysteme;6745;60;KL;20201;J;;0;0;0;0;08:00;
VM;0;182;20320;Geotechnik I;0815;90;KL;20201;J;;0;0;0;0;08:00;
VM;0;182;17120;Geod:Capture,Sources;0133;120;KL;20201;J;;0;0;0;0;08:00;
PG;0;162;18100;Radar;0649;60;KL;20201;J;;0;0;0;0;08:00;
GTM;0;192;911921030;Stahl- und Stahlbetonbau;15282;150;KL;20201;J;;0;0;0;0;08:00;
PB;0;182;6030;Technischer Lärmschutz;1471;60;KL;20201;J;;0;0;0;0;08:00;
PB;0;182;2035;Vorleistung Mathematik 2;1963;0;KL;20201;J;;0;0;0;0;08:00;
PB;0;182;2050;Recht;1947;60;KL;20201;J;;0;0;0;0;08:00;
WI;0;112;4020;Grundlagen der  Logistik;15452;90;KL;20201;J;;0;0;0;0;08:00;
KE;0;192;21921030;Gebäudetechnik 1;0862;60;KL;20201;J;;0;0;0;0;08:00;
WBI;0;112;17000;Immobilienfin.u.-inves.;3698;45;KL;20201;J;;0;0;0;0;08:00;
PB;0;182;6010;Hygrothermische Bauphysik;0346;120;KL;20201;J;;0;0;0;0;08:00;
IB;0;192;11927450;WPF Verwaltungs-u.Grundst;3714;90;KL;20201;J;;0;0;0;0;08:00;
IM;0;131;3010;Versorgungstechnik;7410;120;KL;20201;J;;0;0;0;0;08:00;
VIS;0;162;17690;Recht II/Immobilienbewert;0115;60;KL;20201;J;;0;0;0;0;08:00;
PB;0;132;4050;Energietechnik 2;1436;120;KL;20201;J;;0;0;0;0;08:00;
PB;0;182;4030;Mathematik 4;1436;60;KL;20201;J;;0;0;0;0;08:00;
GTM;0;1922;911921020;Geomechanik 1;3281;150;KL;20201;J;;0;0;0;0;08:00;
PB;0;182;4050;Energietechnik 2;1436;120;KL;20201;J;;0;0;0;0;08:00;
